line_no,db_id,question,fail_cat,agg_ok,sel_ok,cond_ok,em,pred_sql,gold_sql,gold_struct,pred_struct
237,1-123462-2,What is the election year when the # of candidates nominated was 262?,agg,False,True,True,False,SELECT election FROM wikisql_data WHERE of_candidates_nominated = 262,SELECT COUNT(col0) FROM table WHERE col1 = 262,"{'agg': 3, 'sel': 0, 'conds': [[1, 0, 262]], 'count_star': False}","{'agg': 0, 'sel': 0, 'conds': [[1, 0, 262]], 'count_star': False}"
250,1-12570759-2,"How many millions of U.S. viewers watched the episode ""Buzzkill""? ",agg,False,True,True,False,SELECT u_s_viewers_millions FROM wikisql_data WHERE title = 'Buzzkill',"SELECT COUNT(col6) FROM table WHERE col2 = '""Buzzkill""'","{'agg': 3, 'sel': 6, 'conds': [[2, 0, 'buzzkill']], 'count_star': False}","{'agg': 0, 'sel': 6, 'conds': [[2, 0, 'buzzkill']], 'count_star': False}"
261,1-12784134-24,Name the perfect stem for jo,agg,False,True,True,False,SELECT perfect_stem FROM wikisql_data WHERE short_stem = 'jo',SELECT COUNT(col0) FROM table WHERE col3 = 'jo',"{'agg': 3, 'sel': 0, 'conds': [[3, 0, 'jo']], 'count_star': False}","{'agg': 0, 'sel': 0, 'conds': [[3, 0, 'jo']], 'count_star': False}"
262,1-12784134-24,What is the number for future stem for poztu?,agg,False,True,True,False,SELECT future_stem FROM wikisql_data WHERE perfect_stem = 'poztu',SELECT COUNT(col1) FROM table WHERE col0 = 'poztu',"{'agg': 3, 'sel': 1, 'conds': [[0, 0, 'poztu']], 'count_star': False}","{'agg': 0, 'sel': 1, 'conds': [[0, 0, 'poztu']], 'count_star': False}"
274,1-1281200-1,When looking at new entries this round and seeing 8; what number in total is there for clubs remaining?,agg,False,True,True,False,SELECT clubs_remaining FROM wikisql_data WHERE new_entries_this_round = '8',SELECT COUNT(col2) FROM table WHERE col5 = '8',"{'agg': 3, 'sel': 2, 'conds': [[5, 0, 8]], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[5, 0, 8]], 'count_star': False}"
285,1-13282157-3,Name the number of points for south korea,agg,False,True,True,False,SELECT points FROM wikisql_data WHERE country = 'South Korea',SELECT COUNT(col5) FROM table WHERE col2 = 'South Korea',"{'agg': 3, 'sel': 5, 'conds': [[2, 0, 'south korea']], 'count_star': False}","{'agg': 0, 'sel': 5, 'conds': [[2, 0, 'south korea']], 'count_star': False}"
307,1-13416000-3,"How many entries are there for total drivers when the Last driver for september 22, 2013 was gianmarco raimondo?",agg,False,True,True,False,SELECT COUNT(total_drivers) FROM wikisql_data WHERE last_current_driver_s_september_22_2013 = 'Gianmarco Raimondo',SELECT col1 FROM table WHERE col6 = 'Gianmarco Raimondo',"{'agg': 0, 'sel': 1, 'conds': [[6, 0, 'gianmarco raimondo']], 'count_star': False}","{'agg': 3, 'sel': 1, 'conds': [[6, 0, 'gianmarco raimondo']], 'count_star': False}"
417,1-13758945-3, how many points against with tries for being 43,agg,False,True,True,False,SELECT points_against FROM wikisql_data WHERE tries_for = '43',SELECT COUNT(col6) FROM table WHERE col7 = '43',"{'agg': 3, 'sel': 6, 'conds': [[7, 0, 43]], 'count_star': False}","{'agg': 0, 'sel': 6, 'conds': [[7, 0, 43]], 'count_star': False}"
452,1-14286908-1,How many times was banbridge academy the winner?,agg,False,True,True,False,SELECT winners FROM wikisql_data WHERE school = 'Banbridge Academy',SELECT COUNT(col1) FROM table WHERE col0 = 'Banbridge Academy',"{'agg': 3, 'sel': 1, 'conds': [[0, 0, 'banbridge academy']], 'count_star': False}","{'agg': 0, 'sel': 1, 'conds': [[0, 0, 'banbridge academy']], 'count_star': False}"
470,1-14342592-8,Name the number of field goals for 19 extra points,agg,False,True,True,False,SELECT field_goals FROM wikisql_data WHERE extra_points = 19,SELECT COUNT(col5) FROM table WHERE col4 = 19,"{'agg': 3, 'sel': 5, 'conds': [[4, 0, 19]], 'count_star': False}","{'agg': 0, 'sel': 5, 'conds': [[4, 0, 19]], 'count_star': False}"
569,1-150343-3,What is the United States rank?,agg,False,True,True,False,SELECT rank FROM wikisql_data WHERE country_territory = 'United States',SELECT COUNT(col0) FROM table WHERE col1 = 'United States',"{'agg': 3, 'sel': 0, 'conds': [[1, 0, 'united states']], 'count_star': False}","{'agg': 0, 'sel': 0, 'conds': [[1, 0, 'united states']], 'count_star': False}"
571,1-150343-3,What is Iceland's total?,agg,False,True,True,False,SELECT total FROM wikisql_data WHERE country_territory = 'Iceland',SELECT COUNT(col10) FROM table WHERE col1 = 'Iceland',"{'agg': 3, 'sel': 10, 'conds': [[1, 0, 'iceland']], 'count_star': False}","{'agg': 0, 'sel': 10, 'conds': [[1, 0, 'iceland']], 'count_star': False}"
601,1-1529260-2,How many dollars is the purse when the margin of victory is 8 strokes?,agg,False,True,True,False,SELECT purse_us FROM wikisql_data WHERE margin_of_victory = '8 strokes',SELECT COUNT(col7) FROM table WHERE col6 = '8 strokes',"{'agg': 3, 'sel': 7, 'conds': [[6, 0, '8 strokes']], 'count_star': False}","{'agg': 0, 'sel': 7, 'conds': [[6, 0, '8 strokes']], 'count_star': False}"
641,1-15700367-2,Name the total number of wickets being yuvraj singh,agg,False,True,True,False,SELECT SUM(wickets) FROM wikisql_data WHERE name = 'yuvraj singh',SELECT COUNT(col4) FROM table WHERE col0 = 'Yuvraj Singh',"{'agg': 3, 'sel': 4, 'conds': [[0, 0, 'yuvraj singh']], 'count_star': False}","{'agg': 4, 'sel': 4, 'conds': [[0, 0, 'yuvraj singh']], 'count_star': False}"
643,1-15700367-2,Name the runs conceded where overs bowled is 53,agg,False,True,True,False,SELECT runs_conceded FROM wikisql_data WHERE overs_bowled = '53',SELECT COUNT(col3) FROM table WHERE col1 = '53',"{'agg': 3, 'sel': 3, 'conds': [[1, 0, 53]], 'count_star': False}","{'agg': 0, 'sel': 3, 'conds': [[1, 0, 53]], 'count_star': False}"
654,1-157826-1,What is the total population in the city/town of Arendal?,agg,False,True,True,False,SELECT population FROM wikisql_data WHERE city_town = 'Arendal',SELECT COUNT(col4) FROM table WHERE col0 = 'Arendal',"{'agg': 3, 'sel': 4, 'conds': [[0, 0, 'arendal']], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[0, 0, 'arendal']], 'count_star': False}"
668,1-15887683-15,How many television service are in italian and n°is greater than 856.0?,agg,False,True,True,False,SELECT COUNT(television_service) FROM wikisql_data WHERE language = 'Italian' AND n > 856.0,SELECT col1 FROM table WHERE col3 = 'Italian' AND col0 > 856.0,"{'agg': 0, 'sel': 1, 'conds': [[3, 0, 'italian'], [0, 1, 856.0]], 'count_star': False}","{'agg': 3, 'sel': 1, 'conds': [[3, 0, 'italian'], [0, 1, 856.0]], 'count_star': False}"
671,1-15887683-15,How many dar are in germany?,agg,False,True,True,False,SELECT COUNT(dar) FROM wikisql_data WHERE country = 'Germany',SELECT col5 FROM table WHERE col2 = 'Germany',"{'agg': 0, 'sel': 5, 'conds': [[2, 0, 'germany']], 'count_star': False}","{'agg': 3, 'sel': 5, 'conds': [[2, 0, 'germany']], 'count_star': False}"
677,1-15986020-3,What was the total opponents points for the game were the Oilers scored 21?,agg,False,True,True,False,SELECT SUM(opponents) FROM wikisql_data WHERE oilers_points = 21,SELECT col5 FROM table WHERE col4 = 21,"{'agg': 0, 'sel': 5, 'conds': [[4, 0, 21]], 'count_star': False}","{'agg': 4, 'sel': 5, 'conds': [[4, 0, 21]], 'count_star': False}"
680,1-160510-1,"What is the modern equivalent of the former kingdom ""silla"" with the hanja 尙州?",agg,False,True,True,False,SELECT modern_equivalent FROM wikisql_data WHERE former_kingdom = 'silla' AND hanja = '尙州',SELECT COUNT(col5) FROM table WHERE col0 = 'Silla' AND col3 = '尙州',"{'agg': 3, 'sel': 5, 'conds': [[0, 0, 'silla'], [3, 0, '尙州']], 'count_star': False}","{'agg': 0, 'sel': 5, 'conds': [[0, 0, 'silla'], [3, 0, '尙州']], 'count_star': False}"
685,1-16066063-1,How many passengers (in millions) flew from Seoul in 2012?,agg,False,True,True,False,SELECT SUM(col_2012_passengers_in_millions) FROM wikisql_data WHERE city_1 = 'Seoul' OR city_2 = 'Seoul',SELECT col3 FROM table WHERE col1 = 'Seoul',"{'agg': 0, 'sel': 3, 'conds': [[1, 0, 'seoul']], 'count_star': False}","{'agg': 4, 'sel': 3, 'conds': [[1, 0, 'seoul'], [2, 0, 'seoul']], 'count_star': False}"
695,1-16225511-2,How many wins did Baylor have? ,agg,False,True,True,False,SELECT wins FROM wikisql_data WHERE school = 'Baylor',SELECT COUNT(col2) FROM table WHERE col1 = 'Baylor',"{'agg': 3, 'sel': 2, 'conds': [[1, 0, 'baylor']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[1, 0, 'baylor']], 'count_star': False}"
772,1-16922657-2,"When the country was Scotland, how many ends were won?",agg,False,True,True,False,SELECT ends_won FROM wikisql_data WHERE country = 'Scotland',SELECT COUNT(col6) FROM table WHERE col0 = 'Scotland',"{'agg': 3, 'sel': 6, 'conds': [[0, 0, 'scotland']], 'count_star': False}","{'agg': 0, 'sel': 6, 'conds': [[0, 0, 'scotland']], 'count_star': False}"
782,1-17111812-1,"When Interpol is in 6th, who is in 7th?",agg,False,True,True,False,SELECT seventh FROM wikisql_data WHERE sixth = 'Interpol',SELECT COUNT(col7) FROM table WHERE col6 = 'Interpol',"{'agg': 3, 'sel': 7, 'conds': [[6, 0, 'interpol']], 'count_star': False}","{'agg': 0, 'sel': 7, 'conds': [[6, 0, 'interpol']], 'count_star': False}"
811,1-17288869-5,What was the record on November 7?,agg,False,True,True,False,SELECT record FROM wikisql_data WHERE date = 'November 7',SELECT COUNT(col8) FROM table WHERE col1 = 'November 7',"{'agg': 3, 'sel': 8, 'conds': [[1, 0, 'november 7']], 'count_star': False}","{'agg': 0, 'sel': 8, 'conds': [[1, 0, 'november 7']], 'count_star': False}"
835,1-17358515-1,How many points did Goole Town accumulate?,agg,False,True,True,False,SELECT points_2 FROM wikisql_data WHERE team = 'Goole Town',SELECT COUNT(col9) FROM table WHERE col1 = 'Goole Town',"{'agg': 3, 'sel': 9, 'conds': [[1, 0, 'goole town']], 'count_star': False}","{'agg': 0, 'sel': 9, 'conds': [[1, 0, 'goole town']], 'count_star': False}"
839,1-17366952-1,How many times did the Lancaster City team play?,agg,False,True,True,False,SELECT played FROM wikisql_data WHERE team = 'Lancaster City',SELECT COUNT(col2) FROM table WHERE col1 = 'Lancaster City',"{'agg': 3, 'sel': 2, 'conds': [[1, 0, 'lancaster city']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[1, 0, 'lancaster city']], 'count_star': False}"
851,1-17521433-1,What was the average score for the country with the evening gown score of 9.100?,agg,False,True,True,False,SELECT average FROM wikisql_data WHERE evening_gown = '9.100',SELECT COUNT(col5) FROM table WHERE col4 = '9.100',"{'agg': 3, 'sel': 5, 'conds': [[4, 0, 9.1]], 'count_star': False}","{'agg': 0, 'sel': 5, 'conds': [[4, 0, 9.1]], 'count_star': False}"
890,1-1805191-34,How many times was Mike McIntyre elected?,agg,False,True,True,False,SELECT results FROM wikisql_data WHERE incumbent = 'Mike McIntyre',SELECT COUNT(col4) FROM table WHERE col1 = 'Mike McIntyre',"{'agg': 3, 'sel': 4, 'conds': [[1, 0, 'mike mcintyre']], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[1, 0, 'mike mcintyre']], 'count_star': False}"
910,1-1817879-2,"How many news stations opened on the date of June 24, 2000?",agg,False,True,True,False,"SELECT COUNT(of_new_stations) FROM wikisql_data WHERE date_opened = 'June 24, 2000'","SELECT col4 FROM table WHERE col1 = 'June 24, 2000'","{'agg': 0, 'sel': 4, 'conds': [[1, 0, 'june 24, 2000']], 'count_star': False}","{'agg': 3, 'sel': 4, 'conds': [[1, 0, 'june 24, 2000']], 'count_star': False}"
912,1-1817879-2,How many lines have the segment description of red line mos-2 west?,agg,False,True,True,False,SELECT COUNT(line_s) FROM wikisql_data WHERE segment_description = 'Red Line MOS-2 West',SELECT col2 FROM table WHERE col0 = 'Red Line MOS-2 West',"{'agg': 0, 'sel': 2, 'conds': [[0, 0, 'red line mos-2 west']], 'count_star': False}","{'agg': 3, 'sel': 2, 'conds': [[0, 0, 'red line mos-2 west']], 'count_star': False}"
917,1-1817852-1,If 4 went to iran and the amount that survived was less than 12.0 how many were there in 1990?,agg,False,True,True,False,SELECT col_1990 FROM wikisql_data WHERE to_iran = 4 AND survived < 12.0,SELECT COUNT(col1) FROM table WHERE col4 = 4 AND col5 < 12.0,"{'agg': 3, 'sel': 1, 'conds': [[4, 0, 4], [5, 2, 12.0]], 'count_star': False}","{'agg': 0, 'sel': 1, 'conds': [[4, 0, 4], [5, 2, 12.0]], 'count_star': False}"
931,1-18220102-1,How many number of screenings have an opening film of the journey of vaan nguyen?,agg,False,True,True,False,SELECT number_of_screening FROM wikisql_data WHERE opening_film = 'The Journey of Vaan Nguyen',SELECT COUNT(col4) FROM table WHERE col3 = 'The Journey of Vaan Nguyen',"{'agg': 3, 'sel': 4, 'conds': [[3, 0, 'the journey of vaan nguyen']], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[3, 0, 'the journey of vaan nguyen']], 'count_star': False}"
957,1-18505065-1, How many table points are listed for the deficit is +194? ,agg,False,True,True,False,SELECT table_points FROM wikisql_data WHERE difference = '+194',SELECT COUNT(col9) FROM table WHERE col8 = '+194',"{'agg': 3, 'sel': 9, 'conds': [[8, 0, 194]], 'count_star': False}","{'agg': 0, 'sel': 9, 'conds': [[8, 0, 194]], 'count_star': False}"
1008,1-1893276-2,"How many rewards are there for air date October 6, 2005?",agg,False,True,True,False,"SELECT COUNT(reward) FROM wikisql_data WHERE air_date = 'October 6, 2005'","SELECT col2 FROM table WHERE col1 = 'October 6, 2005'","{'agg': 0, 'sel': 2, 'conds': [[1, 0, 'october 6, 2005']], 'count_star': False}","{'agg': 3, 'sel': 2, 'conds': [[1, 0, 'october 6, 2005']], 'count_star': False}"
1073,1-19744915-14,"If the total points is 50.5, what is the total number of dances?",agg,False,True,True,False,SELECT number_of_dances FROM wikisql_data WHERE total_points = '50.5',SELECT COUNT(col3) FROM table WHERE col4 = '50.5',"{'agg': 3, 'sel': 3, 'conds': [[4, 0, 50.5]], 'count_star': False}","{'agg': 0, 'sel': 3, 'conds': [[4, 0, 50.5]], 'count_star': False}"
1110,1-20016339-1,How many fastest laps did I.C. Team have?,agg,False,True,True,False,SELECT SUM(fastest_laps) FROM wikisql_data WHERE team = 'I.C. Team',SELECT COUNT(col9) FROM table WHERE col2 = 'I.C. Team',"{'agg': 3, 'sel': 9, 'conds': [[2, 0, 'i.c. team']], 'count_star': False}","{'agg': 4, 'sel': 9, 'conds': [[2, 0, 'i.c. team']], 'count_star': False}"
1148,1-2054561-2,Who took first place in week 6?,agg,False,True,True,False,SELECT first_place FROM wikisql_data WHERE no_of_weeks = 6,SELECT COUNT(col4) FROM table WHERE col2 = 6,"{'agg': 3, 'sel': 4, 'conds': [[2, 0, 6]], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[2, 0, 6]], 'count_star': False}"
1169,1-20823568-2,What is the total number of 3rd place entries that have exactly 8 total placings?,agg,False,True,True,False,SELECT SUM(third_place_s) FROM wikisql_data WHERE total_placing_s = 8,SELECT COUNT(col3) FROM table WHERE col4 = 8,"{'agg': 3, 'sel': 3, 'conds': [[4, 0, 8]], 'count_star': False}","{'agg': 4, 'sel': 3, 'conds': [[4, 0, 8]], 'count_star': False}"
1194,1-21093403-1,What is the total of blank ends at Prince Edward Island?,agg,False,True,True,False,SELECT SUM(blank_ends) FROM wikisql_data WHERE locale = 'Prince Edward Island',SELECT MAX(col8) FROM table WHERE col0 = 'Prince Edward Island',"{'agg': 1, 'sel': 8, 'conds': [[0, 0, 'prince edward island']], 'count_star': False}","{'agg': 4, 'sel': 8, 'conds': [[0, 0, 'prince edward island']], 'count_star': False}"
1245,1-21481509-4,How many n are listed for 0.6% r1b1a2 (r-m269)?,agg,False,True,True,False,SELECT SUM(n) FROM wikisql_data WHERE r1b1a2_r_m269 = '0.6%',SELECT COUNT(col4) FROM table WHERE col7 = '0.6%',"{'agg': 3, 'sel': 4, 'conds': [[7, 0, 0.6]], 'count_star': False}","{'agg': 4, 'sel': 4, 'conds': [[7, 0, 0.6]], 'count_star': False}"
1246,1-21481509-4,How many n are listed for berbers from siwa?,agg,False,True,True,False,SELECT n FROM wikisql_data WHERE language = 'Berber' AND region = 'Siwa',SELECT COUNT(col4) FROM table WHERE col1 = 'Berbers from Siwa',"{'agg': 3, 'sel': 4, 'conds': [[1, 0, 'berbers from siwa']], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[3, 0, 'berber'], [0, 0, 'siwa']], 'count_star': False}"
1282,1-21824695-8,How many match played have the highest as 32250?,agg,False,True,True,False,SELECT COUNT(match_played) FROM wikisql_data WHERE highest = 32250,SELECT col2 FROM table WHERE col3 = 32250,"{'agg': 0, 'sel': 2, 'conds': [[3, 0, 32250]], 'count_star': False}","{'agg': 3, 'sel': 2, 'conds': [[3, 0, 32250]], 'count_star': False}"
1372,1-22683369-8,How many points did player 7 score in the challenge cup?,agg,False,True,True,False,SELECT challenge_cup FROM wikisql_data WHERE p = 7,SELECT COUNT(col5) FROM table WHERE col0 = 7,"{'agg': 3, 'sel': 5, 'conds': [[0, 0, 7]], 'count_star': False}","{'agg': 0, 'sel': 5, 'conds': [[0, 0, 7]], 'count_star': False}"
1373,1-22683369-8,What is Kris doolan's league number?,agg,False,True,True,False,SELECT league FROM wikisql_data WHERE player = 'Kris Doolan',SELECT COUNT(col2) FROM table WHERE col1 = 'Kris Doolan',"{'agg': 3, 'sel': 2, 'conds': [[1, 0, 'kris doolan']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[1, 0, 'kris doolan']], 'count_star': False}"
1374,1-22683369-8,What is bryan hodge's player number,agg,False,True,True,False,SELECT p FROM wikisql_data WHERE player = 'Bryan Hodge',SELECT COUNT(col0) FROM table WHERE col1 = 'Bryan Hodge',"{'agg': 3, 'sel': 0, 'conds': [[1, 0, 'bryan hodge']], 'count_star': False}","{'agg': 0, 'sel': 0, 'conds': [[1, 0, 'bryan hodge']], 'count_star': False}"
1388,1-22815568-2,"What is the unemployment rate for the county with a market income per capita of $20,958?",agg,False,True,True,False,"SELECT unemployment_rate FROM wikisql_data WHERE market_income_per_capita = '$20,958'","SELECT COUNT(col2) FROM table WHERE col3 = '$20,958'","{'agg': 3, 'sel': 2, 'conds': [[3, 0, '$20,958']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[3, 0, '$20,958']], 'count_star': False}"
1407,1-22897967-1,"Name the guest judge for first audition date being july 9, 2009",agg,False,True,True,False,"SELECT guest_judge FROM wikisql_data WHERE first_audition_date = 'July 9, 2009'","SELECT COUNT(col6) FROM table WHERE col2 = 'July 9, 2009'","{'agg': 3, 'sel': 6, 'conds': [[2, 0, 'july 9, 2009']], 'count_star': False}","{'agg': 0, 'sel': 6, 'conds': [[2, 0, 'july 9, 2009']], 'count_star': False}"
1408,1-22897967-1,Name the total number of golden tickets being rosen shingle creek resort,agg,False,True,True,False,SELECT SUM(golden_tickets) FROM wikisql_data WHERE audition_venue = 'Rosen Shingle Creek Resort',SELECT COUNT(col7) FROM table WHERE col5 = 'Rosen Shingle Creek Resort',"{'agg': 3, 'sel': 7, 'conds': [[5, 0, 'rosen shingle creek resort']], 'count_star': False}","{'agg': 4, 'sel': 7, 'conds': [[3, 0, 'rosen shingle creek resort']], 'count_star': False}"
1413,1-22897453-1,Name the number of tn seshan values for kr values is 478608,agg,False,True,True,False,SELECT t_n_seshan_values FROM wikisql_data WHERE k_r_narayanan_values = 478608,SELECT COUNT(col6) FROM table WHERE col4 = 478608,"{'agg': 3, 'sel': 6, 'conds': [[4, 0, 478608]], 'count_star': False}","{'agg': 0, 'sel': 6, 'conds': [[4, 0, 478608]], 'count_star': False}"
1416,1-22993636-5,How many blockings occured in the game with 198 rebounds?,agg,False,True,True,False,SELECT SUM(blocks) FROM wikisql_data WHERE rebounds = 198,SELECT MAX(col8) FROM table WHERE col6 = 198,"{'agg': 1, 'sel': 8, 'conds': [[6, 0, 198]], 'count_star': False}","{'agg': 4, 'sel': 8, 'conds': [[6, 0, 198]], 'count_star': False}"
1418,1-22993636-5,"How much time, in minutes, did Chanel Chisholm play?",agg,False,True,True,False,SELECT minutes FROM wikisql_data WHERE player = 'Chanel Chisholm',SELECT COUNT(col2) FROM table WHERE col0 = 'Chanel Chisholm',"{'agg': 3, 'sel': 2, 'conds': [[0, 0, 'chanel chisholm']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[0, 0, 'chanel chisholm']], 'count_star': False}"
1421,1-2305948-1,What countries does the Rock come from?,agg,False,True,True,False,SELECT country FROM wikisql_data WHERE name = 'Rock',SELECT COUNT(col2) FROM table WHERE col1 = 'The Rock',"{'agg': 3, 'sel': 2, 'conds': [[1, 0, 'the rock']], 'count_star': False}","{'agg': 0, 'sel': 2, 'conds': [[1, 0, 'rock']], 'count_star': False}"
1448,1-23284271-9,List the stadium and number of people in attendance when the team record was 45-22.,agg,False,True,True,False,"SELECT location_attendance, record FROM wikisql_data WHERE record = '45-22'",SELECT COUNT(col7) FROM table WHERE col8 = '45-22',"{'agg': 3, 'sel': 7, 'conds': [[8, 0, '45-22']], 'count_star': False}","{'agg': 0, 'sel': 7, 'conds': [[8, 0, '45-22']], 'count_star': False}"
1499,1-23501776-16,Name the number of points defending for 1075,agg,False,True,True,False,SELECT points_defending FROM wikisql_data WHERE seed = 1075,SELECT COUNT(col4) FROM table WHERE col6 = 1075,"{'agg': 3, 'sel': 4, 'conds': [[6, 0, 1075]], 'count_star': False}","{'agg': 0, 'sel': 4, 'conds': [[0, 0, 1075]], 'count_star': False}"
1511,1-23662272-4,What is the total points earned total number if the average is 21.3?,agg,False,True,True,False,SELECT SUM(total_points_earned) FROM wikisql_data WHERE average = '21.3',SELECT COUNT(col4) FROM table WHERE col5 = '21.3',"{'agg': 3, 'sel': 4, 'conds': [[5, 0, 21.3]], 'count_star': False}","{'agg': 4, 'sel': 4, 'conds': [[5, 0, 21.3]], 'count_star': False}"
1512,1-23662272-4,What is the number of dances total number if the average is 22.3?,agg,False,True,True,False,SELECT SUM(number_of_dances) FROM wikisql_data WHERE average = '22.3',SELECT COUNT(col3) FROM table WHERE col5 = '22.3',"{'agg': 3, 'sel': 3, 'conds': [[5, 0, 22.3]], 'count_star': False}","{'agg': 4, 'sel': 3, 'conds': [[5, 0, 22.3]], 'count_star': False}"
1527,1-2387461-1,How many games played have 4.7 points per game?,agg,False,True,True,False,SELECT games_played FROM wikisql_data WHERE points_per_game = '4.7',SELECT COUNT(col1) FROM table WHERE col2 = '4.7',"{'agg': 3, 'sel': 1, 'conds': [[2, 0, 4.7]], 'count_star': False}","{'agg': 0, 'sel': 1, 'conds': [[2, 0, 4.7]], 'count_star': False}"
1536,1-23938357-5,what is the total 07-08 gp/jgp 2nd with the name mao asada,agg,False,True,True,False,SELECT SUM(col_07_08_gp_jgp_2nd) FROM wikisql_data WHERE name = 'Mao Asada',SELECT col11 FROM table WHERE col2 = 'Mao Asada',"{'agg': 0, 'sel': 11, 'conds': [[2, 0, 'mao asada']], 'count_star': False}","{'agg': 4, 'sel': 11, 'conds': [[2, 0, 'mao asada']], 'count_star': False}"
