line_no,db_id,question,gold_sql,pred_sql,em,agg_match,sel_match,cond_match,fail_reason,gold_struct,pred_struct
22,1-10295819-2,Name the minimum tiesplayed for 6 years,SELECT MIN(col5) FROM table WHERE col4 = 6,SELECT MIN(ties_played) FROM wikisql_data WHERE years_played = 6,True,True,True,True,ok,"{""agg"": 2, ""sel"": 5, ""conds"": [[4, 0, 6]], ""count_star"": false}","{""agg"": 2, ""sel"": 5, ""conds"": [[4, 0, 6]], ""count_star"": false}"
23,1-10342194-3,"What is the amount of trees, that require replacement when prevailing types, % is pine — 29.37 poplar — 26.12 acer negundo — 13.2?",SELECT col4 FROM table WHERE col2 = 'Pine — 29.37 Poplar — 26.12 Acer negundo — 13.2',SELECT amount_of_trees_that_require_replacement FROM wikisql_data WHERE prevailing_types = 'pine — 29.37 poplar — 26.12 acer negundo — 13.2',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[2, 0, ""pine \u2014 29.37 poplar \u2014 26.12 acer negundo \u2014 13.2""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[2, 0, ""pine \u2014 29.37 poplar \u2014 26.12 acer negundo \u2014 13.2""]], ""count_star"": false}"
24,1-10342194-3,"What is the amount of trees, that require replacement when district is leninsky?",SELECT col4 FROM table WHERE col0 = 'Leninsky',SELECT amount_of_trees_that_require_replacement FROM wikisql_data WHERE district = 'leninsky',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""leninsky""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""leninsky""]], ""count_star"": false}"
25,1-10342194-3,"What is the district when the total amount of trees is smaller than 150817.6878461314 and amount of old trees is 1,928 (1.89%)?","SELECT col0 FROM table WHERE col1 < 150817.6878461314 AND col3 = '1,928 (1.89%)'",SELECT district FROM wikisql_data WHERE total_amount_of_trees < 150817.6878461314 AND amount_of_old_trees = 1928,False,True,True,False,"cond(gold=[[1, 2, 150817.6878461314]] pred=[[1, 2, 150817.6878461314], [3, 0, 1928]])","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 2, 150817.6878461314]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 2, 150817.6878461314], [3, 0, 1928]], ""count_star"": false}"
26,1-10342194-3,"What is the amount of trees, that require replacement when the district is motovilikhinsky?",SELECT col4 FROM table WHERE col0 = 'Motovilikhinsky',SELECT amount_of_trees_that_require_replacement FROM wikisql_data WHERE district = 'motovilikhinsky',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""motovilikhinsky""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""motovilikhinsky""]], ""count_star"": false}"
27,1-10342194-3,What is the total amount of trees when district is leninsky?,SELECT MAX(col1) FROM table WHERE col0 = 'Leninsky',SELECT total_amount_of_trees FROM wikisql_data WHERE district = 'leninsky',False,False,True,True,agg(gold=MAX pred=NONE),"{""agg"": 1, ""sel"": 1, ""conds"": [[0, 0, ""leninsky""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[0, 0, ""leninsky""]], ""count_star"": false}"
28,1-10342194-3,"What is the district when prevailing types, % is acer negundo — 30.22 tilia — 18.6 poplar — 15.23?",SELECT col0 FROM table WHERE col2 = 'Acer negundo — 30.22 Tilia — 18.6 Poplar — 15.23',SELECT district FROM wikisql_data WHERE prevailing_types = 'acer negundo — 30.22 tilia — 18.6 poplar — 15.23',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""acer negundo \u2014 30.22 tilia \u2014 18.6 poplar \u2014 15.23""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""acer negundo \u2014 30.22 tilia \u2014 18.6 poplar \u2014 15.23""]], ""count_star"": false}"
29,1-10429820-13,"When the value of ""since beginning of big 12"" is synonymous with its' category, what are the in Ames values?",SELECT col2 FROM table WHERE col8 = 'Since Beginning of Big 12',SELECT in_ames FROM wikisql_data WHERE since_beginning_of_big_12 = 'synonymous',False,True,True,False,"cond(gold=[[8, 0, 'since beginning of big 12']] pred=[[8, 0, 'synonymous']])","{""agg"": 0, ""sel"": 2, ""conds"": [[8, 0, ""since beginning of big 12""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[8, 0, ""synonymous""]], ""count_star"": false}"
30,1-1046170-5,"what's the u.s. open cup status for regular season of 4th, atlantic division ","SELECT col5 FROM table WHERE col3 = '4th, Atlantic Division'",SELECT u_s_open_cup FROM wikisql_data WHERE regular_season = '4th' AND division = 'atlantic',False,True,True,False,"cond(gold=[[3, 0, '4th, atlantic division']] pred=[[3, 0, '4th']])","{""agg"": 0, ""sel"": 5, ""conds"": [[3, 0, ""4th, atlantic division""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[3, 0, ""4th""]], ""count_star"": false}"
31,1-1046170-5,how many division  did not qualify for u.s. open cup in 2003,SELECT col1 FROM table WHERE col5 = 'Did Not Qualify' AND col0 = 2003,SELECT COUNT(*) FROM wikisql_data WHERE year = 2003 AND u_s_open_cup = 'did not qualify',False,False,False,False,"agg(gold=NONE pred=COUNT) | sel(gold=1=Division pred=-999=COUNT(*)) | cond(gold=[[5, 0, 'did not qualify']] pred=[[0, 0, 2003], [5, 0, 'did not qualify']])","{""agg"": 0, ""sel"": 1, ""conds"": [[5, 0, ""did not qualify""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[0, 0, 2003], [5, 0, ""did not qualify""]], ""count_star"": true}"
32,1-1046170-5,which round is u.s. open cup division semifinals,SELECT col5 FROM table WHERE col4 = 'Division Semifinals',SELECT playoffs FROM wikisql_data WHERE u_s_open_cup = 'semifinals',False,True,False,False,"sel(gold=5=U.S. Open Cup pred=4=Playoffs) | cond(gold=[[4, 0, 'division semifinals']] pred=[[5, 0, 'semifinals']])","{""agg"": 0, ""sel"": 5, ""conds"": [[4, 0, ""division semifinals""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[5, 0, ""semifinals""]], ""count_star"": false}"
33,1-1046170-5,"what are all the playoffs for regular season is 1st, atlantic division","SELECT col4 FROM table WHERE col3 = '1st, Atlantic Division'","SELECT playoffs FROM wikisql_data WHERE regular_season = '1st, atlantic'",False,True,True,False,"cond(gold=[[3, 0, '1st, atlantic division']] pred=[[3, 0, '1st, atlantic']])","{""agg"": 0, ""sel"": 4, ""conds"": [[3, 0, ""1st, atlantic division""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[3, 0, ""1st, atlantic""]], ""count_star"": false}"
34,1-1046170-5,what are all the playoffs for u.s. open cup in 1st round,SELECT col4 FROM table WHERE col5 = '1st Round',SELECT playoffs FROM wikisql_data WHERE u_s_open_cup = '1st round',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[5, 0, ""1st round""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[5, 0, ""1st round""]], ""count_star"": false}"
35,1-1061075-1,what is the total number of 2nd leg where aggregate is 7-2,SELECT COUNT(col5) FROM table WHERE col6 = '7-2',SELECT COUNT(*) FROM wikisql_data WHERE col_2nd_leg = '7-2' OR aggregate = '7-2',False,True,False,False,"sel(gold=5=2nd leg pred=-999=COUNT(*)) | cond(gold=[[6, 0, '7-2']] pred=[[5, 0, '7-2']])","{""agg"": 3, ""sel"": 5, ""conds"": [[6, 0, ""7-2""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[5, 0, ""7-2""]], ""count_star"": true}"
36,1-1061075-1, what's the aggregate where 1st leg is 3–2,SELECT col6 FROM table WHERE col4 = '3–2',SELECT aggregate FROM wikisql_data WHERE col_1st_leg = '3–2',True,True,True,True,ok,"{""agg"": 0, ""sel"": 6, ""conds"": [[4, 0, ""3-2""]], ""count_star"": false}","{""agg"": 0, ""sel"": 6, ""conds"": [[4, 0, ""3-2""]], ""count_star"": false}"
37,1-1061075-1, what's the competition where aggregate is 4–7,SELECT col1 FROM table WHERE col6 = '4–7',SELECT competition FROM wikisql_data WHERE aggregate = '4–7',True,True,True,True,ok,"{""agg"": 0, ""sel"": 1, ""conds"": [[6, 0, ""4-7""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[6, 0, ""4-7""]], ""count_star"": false}"
38,1-1061075-1, what's the competition where 1st leg is 4-1 (h),SELECT col1 FROM table WHERE col4 = '4-1 (h)',SELECT competition FROM wikisql_data WHERE col_1st_leg = '4-1 (h)',True,True,True,True,ok,"{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""4-1 (h)""]], ""count_star"": false}","{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""4-1 (h)""]], ""count_star"": false}"
39,1-1061075-1,what is the total number of round where opponents is haugar,SELECT COUNT(col2) FROM table WHERE col3 = 'Haugar',SELECT COUNT(*) FROM wikisql_data WHERE opponents = 'haugar',False,True,False,True,sel(gold=2=Round pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 2, ""conds"": [[3, 0, ""haugar""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[3, 0, ""haugar""]], ""count_star"": true}"
40,1-1061075-1, what's the 1st leg where opponents is galatasaray,SELECT col4 FROM table WHERE col3 = 'Galatasaray',SELECT col_1st_leg FROM wikisql_data WHERE opponents = 'galatasaray',True,True,True,True,ok,"{""agg"": 0, ""sel"": 4, ""conds"": [[3, 0, ""galatasaray""]], ""count_star"": false}","{""agg"": 0, ""sel"": 4, ""conds"": [[3, 0, ""galatasaray""]], ""count_star"": false}"
41,1-10706961-2,What is the highest Rd that Tom Sneva had the pole position in?,SELECT MAX(col0) FROM table WHERE col2 = 'Tom Sneva',SELECT max(rd) FROM wikisql_data WHERE pole_position = 'tom sneva',True,True,True,True,ok,"{""agg"": 1, ""sel"": 0, ""conds"": [[2, 0, ""tom sneva""]], ""count_star"": false}","{""agg"": 1, ""sel"": 0, ""conds"": [[2, 0, ""tom sneva""]], ""count_star"": false}"
42,1-10706961-2,How many winning drivers were there in the race that had a fastest lap time of 56.920?,SELECT COUNT(col4) FROM table WHERE col3 = '56.920',SELECT COUNT(winning_driver) FROM wikisql_data WHERE fastest_lap = '56.920',True,True,True,True,ok,"{""agg"": 3, ""sel"": 4, ""conds"": [[3, 0, 56.92]], ""count_star"": false}","{""agg"": 3, ""sel"": 4, ""conds"": [[3, 0, 56.92]], ""count_star"": false}"
43,1-10706961-2,How many reports are there in the race that Forsythe Racing won and Teo Fabi had the pole position in?,SELECT COUNT(col6) FROM table WHERE col5 = 'Forsythe Racing' AND col2 = 'Teo Fabi',SELECT COUNT(*) FROM wikisql_data WHERE winning_team = 'forsythe racing' AND pole_position = 'teo fabi',False,True,False,False,"sel(gold=6=Report pred=-999=COUNT(*)) | cond(gold=[[5, 0, 'forsythe racing']] pred=[[5, 0, 'forsythe racing'], [2, 0, 'teo fabi']])","{""agg"": 3, ""sel"": 6, ""conds"": [[5, 0, ""forsythe racing""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[5, 0, ""forsythe racing""], [2, 0, ""teo fabi""]], ""count_star"": true}"
44,1-10706961-2,Which Rd took place at the Indianapolis 500?,SELECT col0 FROM table WHERE col1 = 'Indianapolis 500',SELECT rd FROM wikisql_data WHERE name = 'Indianapolis 500',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, ""indianapolis 500""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[1, 0, ""indianapolis 500""]], ""count_star"": false}"
45,1-10706961-2,Which teams won when Bobby Rahal was their winning driver?,SELECT col5 FROM table WHERE col4 = 'Bobby Rahal',SELECT winning_team FROM wikisql_data WHERE winning_driver = 'bobby rahal',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[4, 0, ""bobby rahal""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[4, 0, ""bobby rahal""]], ""count_star"": false}"
46,1-10706961-2,What was the fastest lap time in the Escort Radar Warning 200?,SELECT col3 FROM table WHERE col1 = 'Escort Radar Warning 200',SELECT fastest_lap FROM wikisql_data WHERE name = 'escort radar warning 200',True,True,True,True,ok,"{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""escort radar warning 200""]], ""count_star"": false}","{""agg"": 0, ""sel"": 3, ""conds"": [[1, 0, ""escort radar warning 200""]], ""count_star"": false}"
47,1-10707176-2,What report was there for the porsche north america?,SELECT col8 FROM table WHERE col7 = 'Porsche North America',SELECT report FROM wikisql_data WHERE winning_team = 'porsche north america',True,True,True,True,ok,"{""agg"": 0, ""sel"": 8, ""conds"": [[7, 0, ""porsche north america""]], ""count_star"": false}","{""agg"": 0, ""sel"": 8, ""conds"": [[7, 0, ""porsche north america""]], ""count_star"": false}"
48,1-10707176-2,What rnds were there for the phoenix international raceway?,SELECT col0 FROM table WHERE col2 = 'Phoenix International Raceway',SELECT rnd FROM wikisql_data WHERE circuit = 'phoenix international raceway',True,True,True,True,ok,"{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""phoenix international raceway""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[2, 0, ""phoenix international raceway""]], ""count_star"": false}"
49,1-10707176-2,Who was the pole position for the rnd equalling 12?,SELECT col5 FROM table WHERE col0 = '12',SELECT pole_position FROM wikisql_data WHERE rnd = 12,True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, 12]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[0, 0, 12]], ""count_star"": false}"
50,1-10707176-2,How many reports were the for the cleveland burke lakefront airport circut?,SELECT COUNT(col8) FROM table WHERE col2 = 'Cleveland Burke Lakefront Airport',SELECT COUNT(*) FROM wikisql_data WHERE circuit = 'cleveland burke lakefront airport',False,True,False,True,sel(gold=8=Report pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 8, ""conds"": [[2, 0, ""cleveland burke lakefront airport""]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[2, 0, ""cleveland burke lakefront airport""]], ""count_star"": true}"
51,1-10707176-2,How many winning drivers were the for the rnd equalling 5?,SELECT COUNT(col6) FROM table WHERE col0 = '5',SELECT COUNT(winning_driver) FROM wikisql_data WHERE rnd = 5,True,True,True,True,ok,"{""agg"": 3, ""sel"": 6, ""conds"": [[0, 0, 5]], ""count_star"": false}","{""agg"": 3, ""sel"": 6, ""conds"": [[0, 0, 5]], ""count_star"": false}"
52,1-10706879-3,The race tony bettenhausen 200 has what smallest rd?,SELECT MIN(col0) FROM table WHERE col1 = 'Tony Bettenhausen 200',SELECT min(rd) FROM wikisql_data WHERE name = 'tony bettenhausen 200',True,True,True,True,ok,"{""agg"": 2, ""sel"": 0, ""conds"": [[1, 0, ""tony bettenhausen 200""]], ""count_star"": false}","{""agg"": 2, ""sel"": 0, ""conds"": [[1, 0, ""tony bettenhausen 200""]], ""count_star"": false}"
53,1-10706879-3,"The winning team of the race, los angeles times 500 is who?",SELECT col5 FROM table WHERE col1 = 'Los Angeles Times 500',SELECT winning_team FROM wikisql_data WHERE name = 'los angeles times 500',True,True,True,True,ok,"{""agg"": 0, ""sel"": 5, ""conds"": [[1, 0, ""los angeles times 500""]], ""count_star"": false}","{""agg"": 0, ""sel"": 5, ""conds"": [[1, 0, ""los angeles times 500""]], ""count_star"": false}"
54,1-10706879-3,How many winning drivers in the kraco twin 125 (r2) race were there?,SELECT COUNT(col4) FROM table WHERE col1 = 'Kraco Twin 125 (R2)',SELECT COUNT(winning_driver) FROM wikisql_data WHERE name = 'kraco twin 125 (r2)',True,True,True,True,ok,"{""agg"": 3, ""sel"": 4, ""conds"": [[1, 0, ""kraco twin 125 (r2)""]], ""count_star"": false}","{""agg"": 3, ""sel"": 4, ""conds"": [[1, 0, ""kraco twin 125 (r2)""]], ""count_star"": false}"
55,1-10706879-3,What are the races that johnny rutherford has won?,SELECT col1 FROM table WHERE col4 = 'Johnny Rutherford',SELECT rd FROM wikisql_data WHERE winning_driver = 'johnny rutherford',False,True,False,True,sel(gold=1=Name pred=0=Rd),"{""agg"": 0, ""sel"": 1, ""conds"": [[4, 0, ""johnny rutherford""]], ""count_star"": false}","{""agg"": 0, ""sel"": 0, ""conds"": [[4, 0, ""johnny rutherford""]], ""count_star"": false}"
56,1-10706879-3,How many fastest laps were there for a rd that equals 10?,SELECT COUNT(col3) FROM table WHERE col0 = 10,SELECT COUNT(*) FROM wikisql_data WHERE rd = 10 AND fastest_lap IS NOT NULL,False,True,False,True,sel(gold=3=Fastest Lap pred=-999=COUNT(*)),"{""agg"": 3, ""sel"": 3, ""conds"": [[0, 0, 10]], ""count_star"": false}","{""agg"": 3, ""sel"": -999, ""conds"": [[0, 0, 10]], ""count_star"": true}"
57,1-10712301-5,What is the license award date for North East England?,SELECT col2 FROM table WHERE col0 = 'North East England',SELECT licence_award_date FROM wikisql_data WHERE region = 'north east england',True,True,True,True,ok,"{""agg"": 0, ""sel"": 2, ""conds"": [[0, 0, ""north east england""]], ""count_star"": false}","{""agg"": 0, ""sel"": 2, ""conds"": [[0, 0, ""north east england""]], ""count_star"": false}"
58,1-10733530-3,What is the percentage of growth in 2000-2008 in ethiopia?,SELECT col4 FROM table WHERE col0 = 'Ethiopia',SELECT growth_2000_2008 FROM wikisql_data WHERE nation = 'ethiopia',False,False,False,False,parse_fail_pred,"{""agg"": 0, ""sel"": 4, ""conds"": [[0, 0, ""ethiopia""]], ""count_star"": false}",null
59,1-10733530-3,Name the total number of percentage growth 2000-2008 of uganda?,SELECT COUNT(col4) FROM table WHERE col0 = 'Uganda',SELECT growth_2000_2008 FROM wikisql_data WHERE nation = 'uganda',False,False,False,False,parse_fail_pred,"{""agg"": 3, ""sel"": 4, ""conds"": [[0, 0, ""uganda""]], ""count_star"": false}",null
60,1-10733530-3,What is the maximum percentage grown 2000-2008 in burundi,SELECT MAX(col4) FROM table WHERE col0 = 'Burundi',SELECT max(growth_2000_2008) FROM wikisql_data WHERE nation = 'burundi',False,False,False,False,parse_fail_pred,"{""agg"": 1, ""sel"": 4, ""conds"": [[0, 0, ""burundi""]], ""count_star"": false}",null
